ts,event,detail,data
1777759714,TEST,audit log próba,"{""ok"": true}"
1777759791,EXECUTION_MODE,MANUAL,{}
1777759791,EXECUTION_MODE,AUTO,{}
1777759959,TICK,HOLD BTCUSDT PnL=-0.10% age=26.3m | HOLD ETHUSDT PnL=-0.15% age=26.3m,"{""balance"": 81.0, ""positions"": [""BTCUSDT"", ""ETHUSDT""]}"
1777760227,SCAN_SYMBOLS,Multi-symbol scanner,"{""symbols_count"": 3, ""top"": [""BTCUSDT"", ""ETHUSDT"", ""DOGEUSDT""]}"
1777760650,SCAN_SYMBOLS,Multi-symbol scanner,"{""symbols_count"": 3, ""top"": [""DOGEUSDT"", ""BTCUSDT"", ""ETHUSDT""]}"
1777760719,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777760721,SCAN_SYMBOLS,Multi-symbol scanner,"{""symbols_count"": 3, ""top"": [""DOGEUSDT"", ""BTCUSDT"", ""ETHUSDT""]}"
1777760721,AI_ADVISOR,HOLD,"{""ok"": true, ""symbol"": ""BTCUSDT"", ""recommendation"": ""HOLD"", ""confidence"": 0.0034, ""ai_mode"": ""OFFLINE"", ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""running"": false, ""scanner"": {""symbol"": ""BTCUSDT"", ""score"": 0.0034, ""signal"": ""WEAK"", ""price"": 78982.16853105, ""trend_pct"": 0.0674, ""momentum_pct"": -0.3046, ""volatility_pct"": 0.532}, ""trade_guard"": {""ok"": true, ""allowed"": true, ""side"": ""BUY"", ""symbol"": ""BTCUSDT"", ""bbo_price"": 78996.70953573, ""limit_price"": 79075.70624527, ""spread_pct"": 0.043477, ""bid_ratio"": 0.4854, ""ask_ratio"": 0.5146, ""reasons"": [""BBO/spread/orderbook OK""], ""orderbook"": {""symbol"": ""BTCUSDT"", ""mid"": 78979.54065072, ""best_bid"": 78962.37176571, ""best_ask"": 78996.70953573, ""spread_pct"": 0.043477, ""bid_ratio"": 0.4854, ""ask_ratio"": 0.5146, ""momentum_pct"": -0.2914}}, ""fee_tax_example_1pct"": {""gross_profit_pct"": 1.0, ""roundtrip_fee_pct"": 0.2, ""net_before_tax_pct"": 0.8, ""tax_cut_pct"": 0.12, ""after_tax_pct"": 0.68, ""positive_after_tax"": true}, ""health_status"": ""OK"", ""reasons"": [""Scanner score: 0.0034"", ""Scanner signal: WEAK"", ""Spread: 0.043477%"", ""BBO allowed: True"", ""Execution mode: AUTO"", ""Safe mode: False"", ""Health: OK"", ""Nincs elég erős edge a vételhez.""]}"
1777760995,INTEGRATION_TEST,binance,"{""ok"": false, ""message"": ""Binance API key/secret hiányzik.""}"
1777760995,INTEGRATION_TEST,openai,"{""ok"": false, ""message"": ""OpenAI API key hiányzik.""}"
1777760995,INTEGRATION_TEST,email,"{""ok"": false, ""message"": ""E-mail user/app password/címzett hiányzik.""}"
1777761087,SECRET_UPDATE,openai_api_key,"{""key"": ""openai_api_key"", ""has_value"": true}"
